datetime,y
2016-07-01,505.724
2016-07-02,528.941
2016-07-03,639.033
2016-07-04,651.904
2016-07-05,722.462
2016-07-06,720.496
2016-07-07,748.915
2016-07-08,750.462
2016-07-09,728.796
2016-07-10,703.961
2016-07-11,759.534
2016-07-12,860.695
2016-07-13,864.917
2016-07-14,810.888
2016-07-15,697.701
2016-07-16,751.658
2016-07-17,827.279
2016-07-18,845.289
2016-07-19,776.91
2016-07-20,816.166
2016-07-21,856.333
2016-07-22,900.234
2016-07-23,924.078
2016-07-24,973.672
2016-07-25,990.766
2016-07-26,971.212
2016-07-27,959.32
2016-07-28,973.041
2016-07-29,977.05
2016-07-30,994.494
2016-07-31,918.456
2016-08-01,865.549
2016-08-02,859.359
2016-08-03,760.733
2016-08-04,794.711
2016-08-05,819.614
2016-08-06,866.818
2016-08-07,834.175
2016-08-08,826.649
2016-08-09,810.608
2016-08-10,771.847
2016-08-11,743.852
2016-08-12,747.157
2016-08-13,779.585
2016-08-14,778.812
2016-08-15,778.529
2016-08-16,774.094
2016-08-17,756.583
2016-08-18,785.496
2016-08-19,842.617
2016-08-20,785.145
2016-08-21,691.088
2016-08-22,673.784
2016-08-23,699.458
2016-08-24,710.084
2016-08-25,719.931
2016-08-26,625.735
2016-08-27,605.761
2016-08-28,610.469
2016-08-29,618.139
2016-08-30,637.274
2016-08-31,601.056
2016-09-01,662.32
2016-09-02,661.893
2016-09-03,676.598
2016-09-04,643.252
2016-09-05,628.832
2016-09-06,540.122
2016-09-07,517.332
2016-09-08,585.429
2016-09-09,628.764
2016-09-10,624.68
2016-09-11,575.088
2016-09-12,557.781
2016-09-13,605.196
2016-09-14,549.693
2016-09-15,461.547
2016-09-16,413.57
2016-09-17,548.356
2016-09-18,589.508
2016-09-19,557.922
2016-09-20,560.524
2016-09-21,545.191
2016-09-22,532.246
2016-09-23,539.349
2016-09-24,566.012
2016-09-25,579.308
2016-09-26,581.983
2016-09-27,588.802
2016-09-28,444.802
2016-09-29,268.794
2016-09-30,356.663
2016-10-01,457.607
2016-10-02,476.884
2016-10-03,532.67
2016-10-04,539.563
2016-10-05,581.56
2016-10-06,495.595
2016-10-07,432.774
2016-10-08,479.624
2016-10-09,439.106
2016-10-10,434.322
2016-10-11,426.093
2016-10-12,410.966
2016-10-13,406.042
2016-10-14,369.742
2016-10-15,428.271
2016-10-16,496.016
2016-10-17,474.28
2016-10-18,459.576
2016-10-19,479.627
