date,y
2015-07-01,18.0
2015-07-02,11.0
2015-07-03,5.0
2015-07-04,13.0
2015-07-05,14.0
2015-07-06,9.0
2015-07-07,9.0
2015-07-08,22.0
2015-07-09,26.0
2015-07-10,24.0
2015-07-11,19.0
2015-07-12,10.0
2015-07-13,14.0
2015-07-14,15.0
2015-07-15,8.0
2015-07-16,16.0
2015-07-17,8.0
2015-07-18,8.0
2015-07-19,16.0
2015-07-20,7.0
2015-07-21,11.0
2015-07-22,10.0
2015-07-23,20.0
2015-07-24,18.0
2015-07-25,15.0
2015-07-26,14.0
2015-07-27,49.0
2015-07-28,10.0
2015-07-29,16.0
2015-07-30,18.0
2015-07-31,8.0
2015-08-01,5.0
2015-08-02,9.0
2015-08-03,7.0
2015-08-04,13.0
2015-08-05,9.0
2015-08-06,7.0
2015-08-07,4.0
2015-08-08,11.0
2015-08-09,10.0
2015-08-10,5.0
2015-08-11,9.0
2015-08-12,9.0
2015-08-13,9.0
2015-08-14,9.0
2015-08-15,13.0
2015-08-16,4.0
2015-08-17,15.0
2015-08-18,25.0
2015-08-19,9.0
2015-08-20,5.0
2015-08-21,6.0
2015-08-22,20.0
2015-08-23,3.0
2015-08-24,14.0
2015-08-25,46.0
2015-08-26,5.0
2015-08-27,5.0
2015-08-28,13.0
2015-08-29,4.0
2015-08-30,9.0
2015-08-31,10.0
2015-09-01,9.0
2015-09-02,11.0
2015-09-03,11.0
2015-09-04,11.0
2015-09-05,9.0
2015-09-06,15.0
2015-09-07,5.0
2015-09-08,10.0
2015-09-09,7.0
2015-09-10,4.0
2015-09-11,8.0
2015-09-12,9.0
2015-09-13,10.0
2015-09-14,6.0
2015-09-15,13.0
2015-09-16,16.0
2015-09-17,6.0
2015-09-18,24.0
2015-09-19,9.0
2015-09-20,11.0
2015-09-21,12.0
2015-09-22,8.0
2015-09-23,14.0
2015-09-24,6.0
2015-09-25,6.0
2015-09-26,11.0
2015-09-27,14.0
2015-09-28,6.0
2015-09-29,10.0
2015-09-30,20.0
2015-10-01,7.0
2015-10-02,15.0
2015-10-03,8.0
2015-10-04,15.0
2015-10-05,5.0
2015-10-06,8.0
2015-10-07,8.0
2015-10-08,5.0
2015-10-09,11.0
2015-10-10,165.0
2015-10-11,34.0
2015-10-12,6.0
2015-10-13,13.0
2015-10-14,8.0
2015-10-15,9.0
2015-10-16,11.0
2015-10-17,26.0
2015-10-18,18.0
2015-10-19,3.0
2015-10-20,5.0
2015-10-21,12.0
2015-10-22,6.0
2015-10-23,16.0
2015-10-24,19.0
2015-10-25,9.0
2015-10-26,10.0
2015-10-27,11.0
2015-10-28,11.0
2015-10-29,7.0
2015-10-30,9.0
2015-10-31,10.0
2015-11-01,24.0
2015-11-02,6.0
2015-11-03,6.0
2015-11-04,8.0
2015-11-05,16.0
2015-11-06,13.0
2015-11-07,10.0
2015-11-08,10.0
2015-11-09,6.0
2015-11-10,5.0
2015-11-11,20.0
2015-11-12,6.0
2015-11-13,47.0
2015-11-14,9.0
2015-11-15,9.0
2015-11-16,12.0
2015-11-17,11.0
2015-11-18,17.0
2015-11-19,15.0
2015-11-20,14.0
2015-11-21,11.0
2015-11-22,97.0
2015-11-23,11.0
2015-11-24,12.0
2015-11-25,11.0
2015-11-26,14.0
2015-11-27,15.0
2015-11-28,12.0
2015-11-29,104.0
2015-11-30,5.0
2015-12-01,22.0
2015-12-02,45.0
2015-12-03,75.0
2015-12-04,29.0
2015-12-05,34.0
2015-12-06,20.0
2015-12-07,12.0
2015-12-08,25.0
2015-12-09,9.0
2015-12-10,62.0
2015-12-11,20.0
2015-12-12,19.0
2015-12-13,8.0
2015-12-14,23.0
2015-12-15,13.0
2015-12-16,16.0
2015-12-17,34.0
2015-12-18,36.0
